split,dataset,subtask,set,num_of_retained_feature,num_of_compounds,rmse,r2,mae
1,BCF1859_RDKit,logBCF,tr,79,1859,0.49181558818089177,0.8794466011035942,0.30913989865477653
1,BCF1859_RDKit,logBCF,va,79,1859,0.7713355616158439,0.7131414807335679,0.5514491861256843
1,BCF1859_RDKit,logBCF,te,79,1859,0.7183054309260063,0.6825920261689171,0.49798977833781494
2,BCF1859_RDKit,logBCF,tr,79,1859,0.5157962602628245,0.8657063778162797,0.31355033474972754
2,BCF1859_RDKit,logBCF,va,79,1859,0.7608209163003237,0.6938148628378749,0.5549163799969524
2,BCF1859_RDKit,logBCF,te,79,1859,0.735465612476365,0.7297799929557465,0.540747912269628
3,BCF1859_RDKit,logBCF,tr,79,1859,0.4920544921095413,0.8733715278775565,0.3050609715093207
3,BCF1859_RDKit,logBCF,va,79,1859,0.934544162661819,0.6041033058495129,0.6812115632838547
3,BCF1859_RDKit,logBCF,te,79,1859,0.7472606916988506,0.754267231773918,0.53260419272301
4,BCF1859_RDKit,logBCF,tr,79,1859,0.4977472180496979,0.8738600353614936,0.3049283402303296
4,BCF1859_RDKit,logBCF,va,79,1859,0.7318470360580943,0.7166137792541312,0.5310739233475976
4,BCF1859_RDKit,logBCF,te,79,1859,0.82468236711402,0.6811735668939187,0.6236303987531963
5,BCF1859_RDKit,logBCF,tr,79,1859,0.5120077545368837,0.8623067855146401,0.3142515502568555
5,BCF1859_RDKit,logBCF,va,79,1859,0.6633918130855965,0.7758548764857678,0.5031335850057438
5,BCF1859_RDKit,logBCF,te,79,1859,0.7989810733288508,0.7464292684295645,0.5524893519532261
6,BCF1859_RDKit,logBCF,tr,79,1859,0.5040608976378429,0.8716118836803619,0.30624846169203873
6,BCF1859_RDKit,logBCF,va,79,1859,0.7997699676939013,0.6807852075027472,0.5918574823435152
6,BCF1859_RDKit,logBCF,te,79,1859,0.7873943077173295,0.6764704199163689,0.6005939023751801
7,BCF1859_RDKit,logBCF,tr,79,1859,0.4790015692876576,0.8876601949265284,0.2996716818378867
7,BCF1859_RDKit,logBCF,va,79,1859,0.8869385096747423,0.5708728335612685,0.6268306927625161
7,BCF1859_RDKit,logBCF,te,79,1859,0.8100165037289127,0.576951694057176,0.5712057148465043
8,BCF1859_RDKit,logBCF,tr,79,1859,0.5116802396487016,0.8647541603972249,0.3071104011969636
8,BCF1859_RDKit,logBCF,va,79,1859,0.8287585729746089,0.7278265266961312,0.6206575792735827
8,BCF1859_RDKit,logBCF,te,79,1859,0.7135771008869048,0.7164717701226928,0.5377515482053321
9,BCF1859_RDKit,logBCF,tr,79,1859,0.4883050957713046,0.8758730888882609,0.3058530033335282
9,BCF1859_RDKit,logBCF,va,79,1859,0.8850717241893726,0.6482610096147938,0.645159458056676
9,BCF1859_RDKit,logBCF,te,79,1859,0.795251172973141,0.709605065473202,0.5501570193338514
10,BCF1859_RDKit,logBCF,tr,79,1859,0.5163573990861963,0.8641601811430711,0.31420931231195687
10,BCF1859_RDKit,logBCF,va,79,1859,0.6691548605848366,0.7582322401226639,0.521910168378354
10,BCF1859_RDKit,logBCF,te,79,1859,0.7567411538968329,0.7356324714850323,0.5837688179657938
